abbrev,desc
declin.,declinação
decor.,decoração
Decr.,decrescendo
decr.,decreto
decresc.,"decrescendo, decrescendo, em decrescendo"
ded.o,dedicado
ded.o,devotado
def.,defectivo
def.,definido
defect.,defectivo
defin.,definição
definit.,definitivo
del.,"delineauit, delineavit, desenhou"
del.t,"delineauit, delineavit, desenhou"
dele.,"deleatur, apague-se, destrua-se, elimine-se"
dem.,demonstrativo
democ.,democrático
democr.,democracia
demog.,demografia
demogr.,demografia
demonstr.,demonstrativo
dens.,densidade
dep.,departamento
depto.,departamento
dpto.,departamento
depr.,depreciativamente
depr.,depreciativo
deprec.,depreciativo
deps.,departamentos
der.,derivação
der.,derivado(s)
deriv.,derivação
deriv.,derivado(s)
derm.,dermatologia
des.,desenho
des.,destilar
des.,desusado
Des.dor,Desembargador
Des.or,Desembargador
desc.,desconto
Desemb.,desembargador
desemb.,desembargador
desemb.,desembocadura
desemboc.,desembocadura
desen.,desenho
desin.,desinência
desp.,despesa
desp.,desporto(s)
despor.,desporto(s)
desus.,desusado
det.,detalhe
det.,determinativo
determ.,determinativo
dev.,deverbal
dev.º,devotado
dez.,dezembro
dez.º,dezembro
dg,decigrama(s)
dg,decigrama-força
dg*,decigrama-força
dgf,decigrama-força
dgr,decígrado(s)
di,dioptria
diác.,diácono
dial.,dialetal
dial.,dialeto
dialet.,dialetal
dialét.,dialética
dic.,dicionário
did.,didática
did.,didático
didát.,didática
diet.,dietética
diet.,dietético
dif.,diferente
Dig.mo,Digníssimo
dim.,"diminuendo, a diminuir"
dim.,diminutivo
dimin.,"diminnendo, diminuindo"
dimin.,diminutivo
din.,dinamarquês
din.,dinâmica
dinam.,dinamarquês
dinâm.,dinâmica
dinâm.,dinâmico
dioc.,diocese
dipl.,diploma
dipl.,diplomacia
diplom.,diplomática
dir. adm.,direito administrativo
dir. ant.,direito antigo
dir. can.,direito canônico
dir. civ.,direito civil
dir. com.,direito comercial
dir. comerc.,direito comercial
dir. cons.,direito consuetudinário
dir. const.,direito constitucional
dir. consuet.,direito consuetudinário
dir. corp.,direito corporativo
dir. crim.,direito criminal
dir.,direita
dir.,direito
dir. ecl.,direito eclesiástico
dir. ecles.,direito eclesiástico
dir. fam.,direito de família
dir. feud.,direito feudal
dir. fis.,direito fiscal
dir. int.,direito internacional
dir. intern.,direito internacional
dir. mar.,direito marítimo
dir. marít.,direito marítimo
dir. parl.,direito parlamentar
dir. pen.,direito penal
dir. pol.,direito político
dir. proc.,direito processual
dir. públ.,direito público
dir. rom.,direito romano
dir. rur.,direito rural
dir. trab.,"direito do trabalho, direito trabalhista"
disc.,discurso
disfem.,disfemismo
diss.,dissertação
docs.,documentos
docum.,documentação
dog.,dogmática
dog.,dogmático
dogm.,dogmática
dogm.,dogmatismo
dogmát.,dogmática
dól.,dólar(es)
dom.,doméstico
dom.,dominicano
dom.,domínico
domin.,dominicano
domín.,domínico
dór.,dórico
Dr.,doutor
dr.o,dinheiro (comercialmente)
Dr.a,doutora
Dr.as,doutoras
Dra.,doutora
Dr.ª,doutora
dram.,dramático
drav.,dravídico
Drs.,doutores
dst,decistéreo(s)
DST,doença sexualmente transmissível
dual.,dualismo
dualid.,dualidade
dur.,dureza
dur.,duriense
DVD,"digital versatile disk, disco versátil digital"
Dy,"dysproposium, dispropósio"
dyn,dina(s)
dz.,dúzia(s)
E.,editor
E.,equação do tempo
E.,equivalente eletroquímico
E.,esquerda (marcação teatral)
E.,esquerdo (andar)
E.,Estado
e.,Estado
E.,Este
E.A.,esquerda alta (marcação teatral)
E.B.,esquerda baixa (marcação teatral)
E.B.,estibordo
E.C.,era cristã
E.C.,era comum (com ou sem pontos  —  ver A.E.C.)
e.c.,"era comum (preferencialmente em versalete, com ou sem pontos  —  ver a.e.c.)"
e.c.f.,é cópia fiel
E.D.,espera deferimento
E.E.M.P.,enviado extraordinário e ministro plenipotenciário
E.E.P.,embaixador extraordinário e plenipotenciário
e.f.,estrada de ferro
e.g.,"exempli gratia, por exemplo"
E.M.,"em mão, em mãos"
E.-M.,Estado-Maior
e.-m.,Estado-Maior
E.M.P.,"em mão própria, em mãos próprias"
E.N.E.,És-Nordeste
E.R.,espera resposta
E.R.M.,espera receber mercê
E.S.E.,És-Sudeste
e/s.,erg(s) por segundo
EC,era comum (com ou sem pontos  —  ver AEC)
ec,"era comum (preferencialmente em versalete, com ou sem pontos  —  ver aec)"
ecd.,ecdótica
ecl.,eclesiástico (termo)
ecl.,eclético
écl.,écloga(s)
ecles.,eclesiástico
ecol.,ecologia
econ. dom.,economia doméstica
econ.,economia / economista
econ. emp.,"economia de empresa, economia empresarial"
econ. ext.,"economia de exploração, economia extrativa"
econ. fin.,economia financeira
econ. fl.,economia florestal
econ. pol.,economia política
econ. rur.,economia rural
ed.,edição
ed.,"edidit, editou"
ed.,edifício
ed.,editado
ed.,educação
edd.,"ediderunt, editaram"
edif.,edifício
educ.,educação
educ. fís.,educação física
educ. nac.,educação nacional
EE.,editores
EE.,Estados
efem.,efeméride
egíp.,egípcio
el. adj.,elemento adjetivo
el. adj.,elemento adjuntivo
el. adv.,elemento adverbial
el. antr.,elemento antroponímico
el. antropon.,elemento antroponímico
el. art.,elemento articular
el. comp.,elemento de composição
el. nom.,elemento nominal
el. nom.f.,elemento nominal feminino
el. nom.f.pl.,elemento nominal feminino plural
el. nom.m.,elemento nominal masculino
el. nom.m.pl.,elemento nominal masculino plural
el. part.,elemento participial
el. partic.,elemento participial
el. prot.,elemento protético
el. protét.,elemento protético
el. subst.,elemento substantivo
el. top.,elemento toponímico
el. topon.,elemento toponímico
el.s.,elemento substantivo
el.s.f.,elemento substantivo feminino
el.s.f.pl.,elemento substantivo feminino plural
el.s.m.,elemento substantivo masculino
el.s.m.pl.,elemento substantivo masculino plural
elem.,elemento
eletr.,eletricidade
eletr.,eletricista
eletrodin.,eletrodinâmica
eletrol.,eletrologia
eletrom.,eletrometria
eletrôn.,eletrônica
eletrot.,eletroterapia
elipt.,elipticamente
elipt.,elíptico
Em.ª,Eminência
Em.mo,Eminentíssimo
Em.mº,Eminentíssimo
Emb.,Embaixador
emb.,Embaixador
emb.,embalagem
emb.,embrulho
Emb.or,Embaixador
embal.,"embalagem, acondicionamento"
embr.,embriologia
embriol.,embriologia
emigr.,emigração
emol.,emolumento(s)
emp.,empresa
Empreend.,empreendimentos
empír.,empírico
empr.,empresa (organização da)
emprés.,empréstimo (que se toma)
enc.,encadernação
enc.,encadernado(s)
enc.,encíclica
encícl.,encíclica
encicl.,enciclopédia
encicl.,enciclopédico (desenvolvimento)
encicl.,enciclopedismo
End. tel.,endereço telegráfico
endoc.,endocrinologia
ENE,És-Nordeste
energ.,energia
energét.,energética
Enf.,enfermagem
enf.,enfermeiro(a)
eng.,engenharia
Eng.º,engenheiro
Eng.ª,engenheira
eng. civ.,engenharia civil
eng. elétr.,engenharia elétrica
eng. eletrôn.,engenharia eletrônica
eng. hidr.,engenharia hidráulica
eng. ind.,engenharia industrial
eng. nucl.,engenharia nuclear
enol.,enologia
ens.,ensino
ent.,entomologia
entom.,entomologia
entomol.,entomologia
enx.,enxadrismo
epig.,epigrafia
epigr.,epigrafia
epíst.,epístola(s)
eq. dom.,equipamento doméstico
Eq.,equação
eq.,equatoriano
equat.,equatoriano
equit.,equitação
equiv.,equivalente(s)
Er,érbio
erg/s,erg(s) por segundo
ergol.,ergologia
erud.,erudito
Es,einstêinio
Esc.,escadas (toponimicamente)
Esc.,escadinhas (toponimicamente)
esc.,escocês
Esc.,escola
esc.,escrópulo(s)
esc.,escudo(s)
escand.,escandinavo
escoc.,escocês
escol.,escolar
escol.,escolástica
escol.,escolástico
escolást.,escolástica
escr.,escrito
escr.,escritor
escul.,escultura
escult.,escultura
ESE,És-Sudeste
esgr.,esgrima
esl.,eslavo
esl.,eslavônico
eslav.,eslavo
eslov.,eslovaco
eslov.,esloveno
esot.,esoterismo
esp.,espanhol
esp.,especial
esp.,espécie
esp.,espiritismo
espec.,especial
especialm.,especialmente
especif.,especificação
específ.,específico
espect.,espectroscopia
espectrogr.,espectrografia
espel.,espeleologia
espeleol.,espeleologia
espet.,espetáculo(s)
espir.,espiritismo
espir.,espiritualismo
espirit.,espiritismo
espiritual.,espiritualismo
esport.,esporte(s)
esq.,esquerdo(a)
est.,estação
est.,estado(s)
est.,estância(s) (de poema)
est.,estante(s)
est.,estética
Est.,estrada (toponimicamente)
est.,estrofe(s)
estad.,estadismo
estad.,estadista
estat.,estatística
estatíst.,estatística
estenog.,estenografia
estenogr.,estenografia
estereogr.,estereografia
estét.,estética
estét.,estético
estil.,estilística
estim.,estimativa de
eston.,estoniano
estr.,estrada
estr.,estratigrafia
estrang.,estrangeiro
estrangeir.,estrangeirismo
estrat.,estratégia
estratég.,estratégia
estrem.,estremenho
estrut.,estrutura
estud.,estudante
et al.,"et alibi, e em outro lugar"
et al.,"et alii, et aliae, et alia, e outros, e outras, e outros (neutro)"
et cat.,"et caterua, et caterva, e a turba"
et seq.,"et sequens, e o seguinte"
et seqq.,"et sequentes, et sequentia, e os seguintes (masculino ou feminino), e os seguintes (neutro)"
et.,ética
et.,etíope
et.,etiópico
et.m.pl.,etnônimo masculino plural
etc.,"et cetera, etcétera"
etim.,etimologia
etim. pop.,etimologia popular
etimol.,etimologia
etióp.,etiópico
étn.,étnico
etn.,etnônimo
etnog. bras.,etnografia brasileira
etnog.,etnografia
etnogr.,etnografia
etnol. bras.,etnologia brasileira
etnol.,etnologia
etnolog.,etnologia
etol.,etologia
Eu,európio
euf.,eufemismo
euf.,eufonia
eufêm.,eufêmico
eufem.,eufemismo
eufon.,eufonia
eufôn.,eufônico
eufor.,euforia
eur.,europeu
Eu'ou,"""Eu Sou"""
Eu'ro,"""Eu Quero"""
ex.,exemplar(es)
ex.,"exemplum (exempli), exemplo(s) (ver exx.), por exemplo (ver e.g.), em exemplo"
ex.,exército
ex.,"exeunt, (ao) fim (antes de datas ou períodos explícitos  —  ver in.)"
Ex.ª,Excelência
Ex.ma,Excelentíssima
Ex.mo,Excelentíssimo
excl.,exclamação
excl.,exclamativo
exclam.,exclamação
exclam.,exclamativo
exclamat.,exclamativo
excurs.,excursionismo
exe.,exército
exérc.,exército
exp.,experiência
exp.,experimental
exp.,expressão
exper.,experiência
exper.,experimental
experim.,experimental
expl.,explosivo
explet.,expletivo
explor.,exploração
explos.,explosivo(s)
export.,exportação
expr.,expressão
expr.,expressivo
express.,expressivo
expression.,expressionismo
ext.,extensão
ext.,extensivo
ext.,extrato
extens.,extensivo
extrat.,extrativo
exx.,"exempli, exemplos"
F,farad(s)
F,flúor
f,fot(s)
f.,feminino
f.,folha
f.,fólio
f.,forma(s)
f.,formação
f.,forte
f.,frase
F.,frente (marcação teatral)
F.,fulano
F.,fundo (marcação teatral)
f.adv.,forma adverbial
f.aport.,forma aportuguesada
F.D.,"fidei defensor, defensor da fé"
F.E.M.,força eletromotriz
F.M.M.,força magnetomotriz
f.nom.,forma nominal
F.º,Filho (comercialmente)
f.º,Fólio
F.O.B.,"free on board, livre a bordo"
f.ºr.º,"Folio recto, na frente do fólio"
f.os,fólios
f.ºv.o,"folio verso, no verso do fólio"
f.paral.,forma paralela
f.parl.,forma paralela
f.port.,forma portuguesa
f.r.,"folio recto, fólio reto"
f.red.,forma reduzida
F.S.A. fac.,"ou fiat secundum artem, faz ou faça-se segundo a arte"
f.v.,folio verso
f.verb.,forma verbal
fáb.,fábrica
fac.,faculdade
falc.,falcoaria
falcoar.,falcoaria
fam.,familiar
farm.,farmacêutico
farm.,farmácia
farmac.,farmacologia
farmac.,farmacopéia
farmacol.,farmacologia
farmacop.,farmacopéia
fasc.,fascículo(s)
fascs.,fascículos
fauv.,fauvismo
Fe,ferro
fed.,federação
fed.,federal
feder.,federação
feit.,feitiçaria
fem.,feminino
fem.,feminismo
fen.,fenício
fenom.,fenomenalismo
fenôm.,fenômeno
fer.,ferrovia
ferrad.,ferradoria
ferrov.,"vias férreas, ferrovias"
feud.,feudal
feud.,feudalidade
feud.,feudalismo
fev.,fevereiro
fev.º,Fevereiro
FF,fortissimo (música)
ff,"fortissimo, fortíssimo (música)"
ff.,folhas
ff.,fólios
fg.,figura
fg.,frigoria(s)
fig.,figura
fig.,figuradamente
fig.,figurado
figd.,figurado
figur.,figurado
figurat.,figurativismo
figurat.,figurativo
figurativ.,figurativismo
fil.,filologia
fil.,filosofia
fil.,filtrar
filat.,filatelia
filol.,filologia
filos.,filosofia
fin.,final
fin.,finança(s)
fin. públ.,finança(s) pública(s)
finl.,finlandês
fís. atôm.,física atômica
fís.,física
fís. mat.,física matemática
fís. méd.,física médica
fís. nucl.,física nuclear
fis. veg.,fisiologia vegetal
fís.-quím.,físico-química
fisc.,fiscal
fisc.,fiscalidade
fisioc.,fisiocracia
fisioc.,fisiocratismo
fisiocr.,fisiocracia
fisiocrat.,fisiocratismo
fisiol.,fisiologia
fisiol. veg.,fisiologia vegetal
fisl.,fisiologia
fispat.,fisiopatologia
fitog.,fitogeografia
fitog.,fitografia
fitogr.,fitografia
fitol.,fitologia
fitopat.,fitopatologia
fitossoc.,fitossociologia
fl. dr.,fluid dram(s)
fl. dram.,"fluid dram, dracma fluida"
fl.,flexão (verbal)
Fl.,flora
fl.,florestal
fl.,"florim, florins (moeda)"
fl.,"floruit, floresceu"
fl.,folha
fl.,fólio
fl. oz.,"fluid ounce(s), onça(s) fluida(s)"
fl. sc.,"fluid scruple(s), escrúpulo(s) fluido(s)"
flam.,flamengo
flex.,"flexão, flexões"
flex.,flexional
flex.,flexivo
flor.,floricultura
floric.,floricultura
fls.,folhas
flum.,fluminense
flumin.,fluminense
fluv.,fluvial
Fm,férmio
fm. adv.,forma adverbial
fm.,forma(s)
fm. nom.,forma nominal
fm. paral.,forma paralela
fm.,verbal forma verbal
fo.,fólio
fog.,fogueiro
fol.,folha
folc. bras.,folclore brasileiro
folc.,folclore
folcl.,folclore
folh.,folheto
fols.,folhas
fon.,fonética
fon.,fonologia
fonét.,fonética
fonol.,fonologia
for.,forense
form.,formação
fórm.,fórmula
form.,formulário
form. port.,formação portuguesa
formul.,formulário
fort.,fortificação
fos.,fólios
fós.,fóssil
fot.,fotografia
fot.,fotógrafo
foto.,fotografia
fotoan.,fotoanálise
fotoanál.,fotoanálise
fotogr.,fotografia
fotom.,fotometria
fov.,fovismo
Fr,frâncio
fr.,francês
fr.,franco(s) (moeda)
fr.,frase
Fr.,Frei
fr.,fruto
fr. prov.,frase proverbial
fr.-maç.,franco-maçonaria
frânc.,frâncico
franc.,franco
freg.,freguesia(s) (divisão administrativa)
frenol.,frenologia
freq.,frequentativo
frig.,frigorífico
frut.,fruticultura
fs.,fac-símile
fs.,folhas
fss.,fac-símiles
ft.,"foot (feet), pé(s)"
ft.p. min.,"foot (feet per minute), pé(s) por minuto"
fulv.,fulvismo
fund.,fundação
fut. conj.,futuro do conjuntivo
fut.,futebol
fut.,futuro
fut. ind.,futuro do indicativo
fut. pret.,futuro do pretérito
fut. subj.,futuro do subjuntivo
futb.,futebol
futeb.,futebol
futeb.,futebolismo
futur.,futurismo
futur.,futurologia
g,gauss
G,gauss
g,grado(s)
g,grama(s)
g,grama(s)-força
g*,grama(s)-força
g*/cm³,grama(s)-força por centímetro cúbico
g.,gênero(s)
g.,grado(s) (da circunferência)
g.,grau(s)
g. quím.,guerra química
g.,de grande
G.de Of.,Grande Oficial
G.M.,Guarda-Marinha
g.m.,guarda-marinha
g.-m.,guarda-marinha
G.M.T.,"Greenwich Meridian Time, hora do meridiano de Greenwich"
G.P.,"Gloria Patri, Glória ao Pai"
g/cm³,grama(s) por centímetro cúbico
g/m³,grama(s) por metro cúbico
G/P,ganhos e perdas
Ga,gálio
gaél.,gaélico
gal.,galego
gal.,galicismo
gal.,"gallon(s), galão(galões)"
galic.,galicismo
galv.,galvanismo
gar.,garimpo
gasc.,gascão
gaul.,gaulês
gav.,gaveta
Gd,gadolínio
Ge,germânio
gen.,genealogia
Gal.,General
gên.,gênero(s)
gen.,genitivo
gen.,genovês
geneal.,genealogia
genét.,genética
genét.,genético
genov.,genovês
geo. ant.,geografia antiga
geo. bras.,geografia brasileira
geo. econ.,geografia econômica
geo. fís.,geografia física
gea.,geografia
geo. hum.,geografia humana
geod.,geodésia
geof.,geofísica
geof.,geofísico
geofís.,geofísica
geog.,geografia
geog. pol.,geografia política
geogn.,geognosia
geogr.,geografia
geogr.,geográfico(s)
geol.,geologia
geom. anal.,geometria analítica
geom. ded.,geometria dedutiva
geom. descr.,geometria descritiva
geom. dif.,geometria diferencial
geom.,geometria
geomor.,geomorfologia
geomorf.,geomorfologia
geon.,geonímia
geôn.,geônimo
ger.,geral
ger.,gerúndio
germ.,germânico
germ.,germanismo
gf,grama(s)-força
gin.,ginástica
ginást.,ginástica
ginec.,ginecologia
ginecol.,ginecologia
gír. cig.,gíria de ciganos
gír. esc.,gíria escolar
gír. fut.,gíria futebolística
gír. gat.,gíria de gatunos
gír.,gíria
gír. pol.,gíria policial
gíria lad.,gíria de ladrões
gliptog.,gliptografia
gliptogr.,gliptografia
gliptol.,gliptologia
gliptot.,gliptoteca
gloss.,glossário
glót.,glótica
glót.,glótico
glotol.,glotologia
gn.,guinéu (moeda)
gnom.,gnomônica
gót.,gótico
gov.,governador
Gov.,governador
gov.,governadoria
gov.,governo
Gov.,governo
gr,grado(s)
gr. biz.,grego bizantino
gr.,grade(s) (medida)
gr.,"grain(s), grão(s)"
gr.,grão(s) (peso)
gr.,grátis
gr.,grau(s)
gr.,grego
gr.,grosa(s)
gr. mod.,grego moderno
gráf.,gráfico
graf.,grafologia
grafol.,grafologia
grafosc.,grafoscopia
gram.,gramática
grav.,gravura
grd.,grande
groen.,groenlandês
groenl.,groenlandês
gt.,"gutta, gota"
guar.,guarani
guat.,"guatemalteco, guatemalense"
guatem.,"guatemalteco, guatemalense"
guin.,"guinéu, guineense"
gutt.,"gutta, gota"
guz.,guzarate
H,haver
H,henry (henries)
h,"henry, unidade de indutância"
H,hidrogênio
h,hora(s)
H.,haver (comercialmente)
h.,homem
h.c.,"honoris causa, por honra, honorariamente"
h.cont.,história contemporânea
H.I.S.,"hic iacet sepultus (sepulta), aqui jaz sepulto(a), sepultado(a)"
H.J.S.,"hic jacet sepultus (sepulta), aqui jaz sepulto(a), sepultado(a)"
h.mod.,história moderna
h.n.,história natural
H.P.,"horsepower, cavalo-vapor"
H.P.-h.,"horse-power-hour(s), cavalo-vapor por hora(s)"
h.sag.,história sagrada
ha,hectare(s)
hab.,habitante(s)
hag.,hagiografia
hag.,hagiônimo
hagiog.,hagiografia
hagiogr.,hagiografia
hagiol.,hagiológico
haplol.,haplologia
hast.,hastim(ins)
HD,"hard disc, disco rígido"
HDD,"hard discs, discos rígidos"
HDL,"high density lipoprotein, lipoproteína de alta densidade"
He,hélio
hebd.,hebdomadário
hebr.,hebraico
hebr.,hebreu
helm.,helmintologia
helmin.,helmintologia
helmintol.,helmintologia
hem.,hematologia
heort.,heortônimo
heort.f.,heortônimo feminino
heort.f.pl.,heortônimo feminino plural
heort.m.,heortônimo masculino
heort.m.pl.,heortônimo masculino plural
heortôn. fem.,heortônimo feminino
heortôn. masc.,heortônimo masculino
her.,heráldica
herál.,heráldica
herál.,heráldico
heráld.,heráldica
herb.,herbário
herd.o,herdeiro
herp.,herpético
herp.,herpetologia
herpét.,herpético
herpet.,herpetografia
herpetogr.,herpetografia
herpetol.,herpetologia
het.,heteronímia
het.,heterônimo
Hf,háfnio
hg,hectograma(s)
Hg,"hidrargirium, mercúrio"
hib.,hibridismo
híb.,híbrido
hibr.,hibridismo
híbr.,híbrido
hibrid.,hibridismo
hidr. fl.,hidrografia fluvial
hidr.,hidráulica
hidrául.,hidráulica
hidrod.,hidrodinâmica
hidrog.,hidrografia
hidrogr.,hidrografia
hidrol.,hidrologia
hidrom.,hidrometria
hidrost.,hidrostática
hidrot.,hidroterapia
hier.,hierônimo
hier.,hierosolimitano
hier.f.,hierônimo feminino
hier.f.pl.,hierônimo feminino plural
hier.m.,hierônimo masculino
hier.m.pl.,hierônimo masculino plural
hierôn.,hierônimo
hierosolim.,hierosolimitano
hig.,higiene
higr.,higrometria
hind.,hindu
hind.,hindustani
híp.,hípico
hip.,hipismo
hip.,hipótese
hip.,hipotético
hipiat.,hipiatria
hipnot.,hipnoterapia
hipnot.,hipnotismo
hipnoter.,hipnoterapia
hipoc.,hipocorístico
hipocor.,hipocorístico
hipol.,hipologia
hipót.,hipótese
hipot.,hipotético
hisp.,hispânico
hisp.-am.,hispano-americano
hisp.-amer.,hispano-americano
hisp.-lat.,hispano-latino
hisp-ár.,hispano-árabe
hist. ant.,história antiga
hist. bíb.,história bíblica
hist. bíbl.,história bíblica
hist. Bras.,história do Brasil
hist. col.,história colonial
hist. contemp.,história contemporânea
hist. ecl.,história eclesiástica
hist. ecles.,história eclesiástica
hist. filos.,história da filosofia
hist. gr.,história grega
hist.,história
hist. inst.,história das instituições
hist. mar. bras.,história marítima brasileira
hist. mar.,história marítima
hist. mil.,história militar
hist. mod.,história moderna
hist. nat.,história natural
hist. rel.,história religiosa
hist. rom.,história romana
hist. sagr.,história sagrada
histol.,histologia
historiog.,historiografia
historiogr.,historiografia
HIV,"human immunodeficiency vírus, vírus da imunodeficiência humana"
hl,hectolitro(s)
hm,hectômetro(s)
hm²,hectômetro(s) quadrado(s)
Ho,hólmio
hol.,holandês
hom.,homeopatia
hom.,homônimo
homeo.,homeopatia
homeop.,homeopatia
homof.,homofonia
homog.,homografia
homogr.,homografia
homon.,homonímia
homôn.,homônimo
hon.,honorário
hond.,"hondurenho, hondurense"
hort.,horticultura
hort.,"hortus, horto, jardim"
hortic.,horticultura
hot.,hotentote
hot.,hotentotismo
hotent.,hotentote
hpz,hectopiezo
humor.,humorístico
húng.,húngaro
hw,hectowatt
hW,hectowatt internacional
i,intransitivo
I,iodo
i,unidade imaginária (matemática)
I.,igreja
I.,intensidade de corrente
I.D.,"Iuris Doctor, doutor de direito, doutor em Direito"
I.D.,"Iurum Doctor, doutor de direitos, doutor em direitos"
i.e.,"id est, isto é"
iat.,"yachting, iatismo"
ib.,ibero
ib.,"ibidem, no mesmo lugar"
ibér.,ibérico
ibid.,"ibidem, no mesmo lugar"
iconog.,iconografia
iconogr.,iconografia
iconol.,iconologia
ict.,ictiologia
ictiol.,ictiologia
id.,"idem, o mesmo"
id.q.,"idem quod, o mesmo que"
idiot.,idiotismo
idol.,idolatria
idolol.,idololatria
igr.,igreja
I.H.V.H ou J.H.V.H,nome de Deus em Hebraico Jeová ou Javé
Il.,ilustração
Il.ma,ilustríssima
Il.mo,ilustríssimo
ilum.,luz e iluminação
ilus.,ilusionismo
ilus.,"ilustração, ilustrações"
ilusion.,ilusionismo
ilustr.,ilustrado
imigr.,imigração
imit.,imitação
imp.,imperfeito
imp.,imperial
imp.,império
imp.,"imprimatur, imprima-se"
imp. ind.,imperfeito do indicativo
imp. subj.,imperfeito do subjuntivo
imper. conj.,imperfeito do conjuntivo
imper.,imperativo
imperat.,imperativo
imperf.,imperfeito
imperf. ind.,imperfeito do indicativo
imperf. subj.,imperfeito do subjuntivo
impes.,impessoal
impes.,impessoalmente
impess.,impessoal
import.,importação
impr.,imprensa
impr.,impropriamente
impres.,impressionismo
impression.,impressionismo
improp.,impropriamente
impror.,impropriamente
In 12.o,em doze (24 páginas em cada folha)
In 16.o,em dezesseis (32 páginas em cada folha)
In 18.o,em dezoito (36 páginas em cada folha)
In 24.o,em vinte e quatro (48 páginas em cada folha)
In 32.o,em trinta e dois (64 páginas em cada folha)
In 4.o,em quatro (8 páginas em cada folha)
In 64.o,em sessenta e quatro (128 páginas em cada folha)
In 8.o,em oitavo (16 páginas em cada folha)
In fol.,in folio (4 páginas em cada folha)
In,índio
In loc.,"in loco, no lugar, nesse mesmo lugar"
In pl.,in plano (duas páginas em cada folha)
In.,in folio (4 páginas em cada folha)
in.,"inch(es), polegada(s)"
in.,"ineunt, (no) início (antes de datas ou períodos explícitos  —  ver ex.)"
inc.,incoativo
inc.,inculto
inc.,"incorporação, incorporado"
incoat.,incoativo
incóg.,"incógnito, de forma não-conhecida"
ind. aç.,indústria açucareira
ind. ag.,indústria agrícola
ind. ext.,indústria extrativa
ind. gás,indústria do gás
ind.,indefinido
ind.,indeterminado
ind.,indiano
ind.,indicativo
índ.,índice
ind.,indígena
índ.,índio
ind.,indireto
ind.,indo
ind.,indonésio
ind.,"indostano, industano"
ind.,indústria
ind. mad.,indústria madeireira
indef.,indefinido
indet.,indeterminado
indian.,indianismo
indian.,indiano
indiv.,indivíduo(s)
indoch.,indochinês
indon.,indonésio
indost.,indostano
indum.,indumentária
indust.,industano
indúst.,indústria
inf.,infantaria
inf.,infante
inf.,infantil
inf.,inferior
inf.,infinitivo
inf.,infinito
inf.,infixo
inf.,"infra, abaixo"
inf.,"infundatur, infunda-se"
inf. pess.,infinitivo pessoal
infan.,infantil
infant.,infantil
infant.,infantilismo
infer.,inferioridade
infin.,infinitivo
infin.,infinito
infinit.,infinitivo
infinitiv. pes.,infinitivo pessoal
infl.,influência
inform.,informação
ing.,inglês
ing.-n.-am.,inglês-norte-americano
ingl.,inglês
ins.,insular
inscr.,"inscrição, inscrições"
insep.,inseparável
inst. ag.,instrumento(s) agrícola(s)
inst.,instituição
inst.,instituto
inst. pol.,instituições políticas
inst. púb.,instrução pública
instit.,instituição
int.,intransitivo
integr.,integralismo
intens.,intensivo
interamn.,interamnense
interj. excl.,interjeição exclamativa
interj.,interjeição
interj.,interjetivo
interj. voc.,interjeição vocativa
interjet.,interjetivamente
intern.,internacional
internac.,internacional
interr.,interrogativo
interrog.,interrogação
interrog.,interrogativo
interrogat.,interrogativo
intj.,interjeição
intr.,intransitivamente
intr.,intransitivo
intrans.,intransitivo
inus.,inusitado
inv.,invariável
inv.,invenção
invar.,invariável
invariav.,invariavelmente
invenç.,invenção
invest.,investigação
investig.,investigação
Io,iônio
iog.,ioga
iog.,ioguismo
Ir,irídio
Ir.,"irmão (um religioso, não-sacerdote)"
ir.,ironia
iran.,iraniano
iraq.,iraquiano
irl.,irlandês
iron.,ironia
iron.,ironicamente
irôn.,irônico
irr.,irregular
irr.,irregularmente
irreg.,irregular(es)
isl.,islandês
islam.,islamita
island.,islandês
isr.,israelita
israel.,israelita
it.,italianismo
it.,italiano
it.,itálico
ít.,ítalo
ital.,italianismo
ital.,italiano
itál.,itálico
italian.,italianismo
italian.,italiano
iug.,iugoslavo
j,jornal
J,joule(s) internacional
j,"joule(s), unidade de energia no trabalho"
J.D.,"Juris Doctor, doutor de direito, doutor em direito"
J.D.,"Jurum Doctor, doutor de direitos, doutor em direitos"
J.r,"junior, júnior"
J.z,juiz
J/s,joule(s) por segundo
jam.,jamaicano
jan.,janeiro
jan.o,janeiro
jap.,japonês
jard.,jardinagem
jardin.,jardinagem
jav.,javanês
jaz.,minas e jazidas
jes.,jesuitismo
joalh.,"joalheria, joalharia"
joc.,jocosamente
joc.,jocoso
jog.,jogo
jorn.,jornal
jorn.,jornalismo
jornª.,jornalíssima
Jr.,"iunior, júnior"
jud.,judaico
jud.,judaísmo
jud.,judeu
jul.,julho
jun.,junho
jur.,jurídico
jur.,jurisprudência
juris.,jurisprudência
jurisp.,jurisprudência
jurispr.,jurisprudência
just. mil.,justiça militar
K,"kalium, potássio"
K.O.,"knock-out, fora de combate"
kA,"quiloampere(s), quiloampère(s)"
kc,quilociclo(s)
kC,quilocoulomb(s)
kcal,quilocaloria(s)
kg,quilograma(s)
kgf,quilograma(s)-força
kgf/cm²,quilograma(s)-força por centímetro quadrado
kgf/cm³,quilograma(s)-força por centímetro cúbico
kgf/dm³,quilograma(s)- força por decímetro cúbico
kgf/m²,quilograma(s)-força por metro quadrado
